Gene ID,Accesion,Control-1,Control-2,Control-3,S7-1,S7-2,S7-3
AT5G57110,Q9LF79,2328.34924,1605.599068,2302.522679,2017.787031,2246.368233,2052.094225
AT5G57120,Q9LU74,527.6116806,598.1643587,465.2542309,839.6236034,750.7122012,870.6360676
AT5G57270,Q8W4D1,457.927119,387.2327164,519.2280396,451.7600964,426.8594075,415.2649958
AT5G58350,Q9LVL5,403.7280155,388.2821276,401.5651366,326.2089033,328.7971112,267.3738403
AT5G58470,Q94KD0,1713.355332,1773.504853,1946.295541,2339.511963,2297.459514,2267.664383
AT5G58770,Q56Y11,37.60754117,27.28469004,17.27161878,30.26680546,48.61912171,53.47476807
AT5G59910,P40283,8939.533757,12342.1246,9138.845287,10937.5267,10550.34941,10855.37792
AT5G60620,Q8GWG0,1116.059089,1328.554523,1169.072696,1025.708407,1096.814424,1087.04177
AT5G60660,Q9FF53,64.15404082,65.06349164,55.05328486,35.87176944,42.85075133,39.2705328
AT5G60990,Q8GY84,907.0054047,922.4324057,924.0316048,1035.797343,962.4937992,1077.850794
AT5G61160,Q9FNP9,170.3400394,181.5481299,165.1598546,218.593595,243.0956085,193.8460342
AT5G61530,Q3E875,679.1479494,767.1195547,788.0176069,634.4819219,618.8637356,656.7369953
AT5G61820,Q8VZ21,1343.916545,1169.044027,1424.908549,1060.459184,1076.213101,1028.553742
AT5G62670,Q9LV11,2261.982991,1772.455442,2291.727917,2119.797375,2089.79818,2019.508038
AT5G63000,Q84K84,463.4576397,619.1525818,379.9756132,468.5749883,516.6811747,443.6734663
AT5G64120,Q43387,1525.317626,1462.879151,1370.934741,1604.14069,1669.531196,1581.683374
AT5G64250,Q9FMG0,835.1086348,824.8371683,794.4944639,845.2285674,857.8390796,861.4450918
AT5G64260,Q9FE06,5959.689172,5808.490746,5439.48044,6330.246313,6605.608129,5703.418231
AT5G64370,Q8H183,839.5330514,789.157189,841.9914156,717.4353887,765.5451536,805.463694
AT5G64620,O49603,2005.366828,1949.805927,1686.141783,2274.494381,2463.918202,2246.775802
AT5G64650,Q1ECK2,849.4879888,879.4065483,740.5206552,865.4064377,827.3491219,760.3443584
AT5G65010,Q9LV77,11906.10509,11687.29204,12051.272,11168.45122,11438.67845,11199.62174
AT5G65270,Q9FJN8,852.8063013,1173.241672,875.4551769,905.7621783,851.2466563,831.3655348
AT5G66170,Q9FKW8,164.8095187,168.955196,174.8751402,196.1737391,208.4853863,182.1484287
AT3G01060,F4IYD5,1215.608463,1139.660515,1114.019411,1261.116894,1218.774254,1207.359998
AT3G01160,Q9MAC6,298.6481211,334.7621586,347.591328,397.9524422,385.656762,426.9626013
AT3G01290,Q9SRH6,1325.112774,1402.013304,1421.670121,1509.977295,1494.831979,1389.508426
AT3G01930,Q9S7R2,609.4633878,529.9526335,647.6857043,596.3681669,658.4182753,603.2622272
AT3G03330,Q8L7U0,553.052076,638.0419826,503.035897,508.9307289,451.5809948,513.8590994
AT3G05220,Q3E7M7,1858.254976,1662.26727,2085.547968,2271.131403,2260.377133,2179.096799
AT3G05230,Q9MA96,456.8210148,581.3737802,513.8306587,609.8200804,554.5876086,546.4452862
AT3G05500,Q9MA63,1682.384415,1886.841258,1639.724308,2022.271002,2015.633418,2026.192384
AT3G07568,Q8W482,910.3237172,1314.912178,940.2237474,1132.202723,1076.213101,1021.869396
AT3G08510,Q39033,2838.263254,2278.271619,2752.664243,2482.999041,2387.281281,2345.369906
AT3G09270,Q9SR36,650.3892414,781.8113109,703.8184653,890.0682792,849.5985505,757.8377287
AT3G09670,Q9SF36,189.14381,165.8069626,204.0209968,210.7466454,232.3829207,223.090048
AT3G09970,Q9SR62,897.0504674,971.75473,820.4018921,707.3464536,899.0417251,807.1347805
AT3G10020,Q9SR67,1038.631799,1503.806186,1042.773984,1345.191354,1318.484656,1278.381174
AT3G10260,Q9SS37,949.0373625,1045.213511,954.2569376,1026.8294,848.7744976,892.3601921
AT3G10520,O24521,4761.778375,4928.034786,4300.633076,4452.583381,4565.253123,4915.500946
AT3G10720,Q94CB1,942.4007376,864.7147922,967.2106517,872.1323944,894.0974076,835.543251
AT3G11340,Q9C768,264.3588924,300.1315905,269.8690434,469.6959811,488.6633758,465.3975908
AT3G11750,Q9SF23,122.7775609,208.83282,166.2393308,196.1737391,190.3562223,204.7080965
AT3G11930,F4J8J7,1153.666631,1271.886321,1248.953933,1405.724965,1393.473471,1404.548205
AT3G12110,P53496,1053.011153,997.9900089,918.6342239,927.0610414,1016.057238,973.4078874
AT3G12580,Q9LHA8,1465.588002,1612.944946,1393.60374,1377.700145,1428.907746,1360.264413
AT3G13224,Q8W4A6,490.0041394,416.6162288,451.2210406,452.8810891,463.1177356,445.3445528
AT3G13610,Q9LHN8,284.2687671,281.2421897,348.6708041,477.5429306,436.7480424,441.1668365
AT3G13920,A8MRZ7,25641.70645,24554.12222,25977.59412,33391.01238,33838.90871,32231.91645
AT3G14940,Q84VW9,1804.055872,1409.359182,1821.076305,1813.766342,1784.074551,1655.21118
AT3G14990,Q9FPF0,4535.027024,5430.70273,4783.158926,5554.519299,5505.497493,5358.338869
AT3G15352,A0A1I9LSX2,220.1147263,399.8256503,290.3790907,335.1768457,300.7793122,348.4215357
AT3G15500,Q9LDY8,53.0929993,46.17409084,29.14585669,42.59772621,26.36969313,34.25727329
AT3G15590,Q9LRP6,911.4298213,994.8417755,954.2569376,1106.419889,1066.324466,1148.036427
AT3G16460,O04310,5604.629739,4462.096233,5615.435056,4920.037377,4916.299663,4959.784738
AT3G16570,Q9LUS7,1944.531099,2013.820007,1971.123493,1965.100369,2015.633418,2001.961629
AT3G16857,Q940D0,866.0795511,755.576032,794.4944639,752.1861654,864.4315029,853.0896593
AT3G17609,A8MS70,87.38222802,105.9905267,82.04018921,124.4302002,147.5054709,101.9362766
AT3G18410,Q94C12,3260.79504,6143.252905,4413.978075,4893.13355,4552.068276,4730.845887
AT3G19010,Q9LJ65,581.810784,647.486683,517.0690872,637.8449003,656.7701695,672.6123171
AT3G19820,Q39085,13330.76724,13199.49351,13277.55694,14359.9177,14317.91932,14389.72587
AT3G22060,Q9LRJ9,202.4170598,188.894008,165.1598546,245.4974221,204.3651217,195.5171207
AT3G22270,F4J077,745.5141985,575.0773132,759.9512263,805.9938195,882.5606669,807.9703237
AT3G22370,Q39219,986.6449037,1183.735783,1046.012412,808.2358051,765.5451536,824.6811888
AT3G23540,A0A1I9LT44,699.0578241,599.2137698,642.2883234,642.3288715,602.3826774,668.4346008
AT3G23820,Q9LIS3,6000.615025,4878.712462,5471.864725,6175.549307,5868.904827,5842.953954
AT3G24830,Q9LRX8,22175.17604,28409.6588,23203.34036,28497.87883,27885.95048,28687.54198
AT3G26030,Q9ZQY6,1573.986208,1272.935732,1571.717309,1567.147927,1552.515683,1671.922045
AT3G27390,Q8GUM4,2191.192325,1673.810793,2008.905159,1926.986614,1780.778339,1903.367526
AT3G27960,Q9LII8,397.0913906,449.1479746,428.552041,388.9844998,380.7124445,370.9812035
AT3G28180,Q9LJP4,1893.650308,1700.046072,1929.023923,1618.713596,1709.085736,1609.256301
AT3G44300,P32962,464.5637439,458.592675,430.7109933,719.6773743,651.0017991,810.4769535
AT3G45620,Q9M1E5,490.0041394,511.0632327,469.5721356,385.6215215,384.0086562,438.6602068
AT3G45780,O48963,3604.793432,3121.998188,3456.482708,2945.969065,3106.679472,2931.921268
AT3G46280,Q8GYH9,559.688701,482.7291315,519.2280396,490.9948442,491.9595874,537.2543104
AT3G46290,Q9LX66,760.9996566,427.1103403,740.5206552,683.8056049,815.8123812,662.5857981
AT3G46510,Q9SNC6,1622.654791,1346.394513,1617.055308,1731.933868,1932.404075,1669.415416
AT3G48090,Q9SU72,272.1016214,261.3033777,294.6969954,351.9917376,363.4073334,314.1642624
AT3G48320,Q9STL2,61.94183252,39.87762391,49.65590399,65.01758211,47.7950688,55.14585457
AT3G48690,Q9SMN0,1693.445457,2071.537621,1672.108593,2287.946294,2293.339249,1880.807858
AT3G48740,Q9SMM5,2833.838838,2655.010224,2829.307051,3050.221395,3133.873218,3108.220894
AT3G49100,Q9SMU7,487.7919311,735.63722,550.5328486,661.385749,562.8281377,554.8007187
AT3G49220,A0A1I9LRM8,3768.496846,3320.336896,3806.232989,3830.43238,4002.424985,3611.217931
AT3G49720,Q9M2Y6,3359.23831,2816.619541,3201.726331,3426.874974,3401.690414,3235.223468
AT3G50480,Q9SCS6,411.4707446,516.3102885,440.4262789,601.9731309,571.0686668,574.0182135
AT3G50670,Q42404,1982.138641,1958.201216,2068.276349,1647.859409,1622.56018,1622.624993
AT3G50970,P42758,246.6612259,280.1927785,269.8690434,462.9700243,394.721344,342.5727329
AT3G51460,Q9C5G5,1096.149215,1285.528666,1046.012412,868.7694161,873.4960849,934.9728979
AT3G51550,Q9SCZ4,3972.02001,3238.482826,4255.295077,4106.196608,3961.22234,3841.827868
AT3G51790,Q96326,614.9939086,630.6961045,593.7118956,684.9265977,725.166561,749.4822962
AT3G53120,Q9SCP9,428.0623069,388.2821276,363.7834706,310.5150042,312.316053,306.6443731
AT3G53420,P43286,5575.871031,5420.208618,5062.743255,6013.005352,6093.871271,5745.195394
AT3G53980,Q9M329,972.2655497,1135.46287,985.5617467,1237.576046,1214.65399,1168.925008
AT3G54150,Q9M389,34.28922872,19.93881196,24.827952,26.90382708,23.07348149,35.09281654
AT3G56010,Q9LY44,2396.927698,2496.549139,2163.270252,2519.991803,2530.666487,2443.128466
AT3G56290,Q9LYL4,322.9824124,390.3809499,364.8629467,439.4291756,379.8883916,403.5673902
AT3G56460,Q9LXZ4,1988.775265,2362.224511,1963.56716,1940.438528,1963.718085,2020.343581
AT3G57260,P33157,37.60754117,30.43292351,15.11266643,49.32368298,39.55453969,38.43498955
AT3G58110,F4J4N6,377.1815159,456.4938527,349.7502803,404.678399,377.4162329,431.1403175
AT3G58600,Q84WV7,382.7120366,401.9244726,342.1939471,289.2161411,313.9641588,316.6708921
AT3G61260,Q9M2D8,1137.075068,1594.055545,1258.669219,1172.558463,1176.747556,1204.017825
AT3G61430,P61837,3838.181408,3840.844829,3763.053942,3452.657808,3536.835091,3403.167661
AT3G61580,Q9ZRP7,4266.243715,3878.623631,4058.830413,4254.167657,4280.130816,4272.132642
AT3G61980,Q9M267,277.6321422,303.279824,267.7100911,274.6432348,318.0844234,264.8672106
AT3G61990,Q9M266,675.8296369,675.8207842,630.4140855,678.2006409,749.8881483,698.5141579
AT3G62300,F4IY86,442.4416608,396.6774168,518.1485634,521.2616496,472.1823176,437.8246635
AT3G62600,Q9LZK5,1175.788714,1220.465174,1117.25784,1338.465397,1344.030297,1431.285589
AT3G62700,Q9LZJ5,1293.035754,1091.387602,1451.895454,1180.405413,1127.304381,1091.219486
AT3G62830,Q9LZI2,1270.913671,1641.279047,1334.232551,1438.233756,1297.883334,1194.826849
AT3G63030,Q9LYB9,214.5842055,285.4398343,191.0672828,228.6825302,217.5499683,182.983972
AT3G63260,O22100,1044.16232,741.933687,988.8001752,776.8480069,823.2288573,832.201078
AT3G63500,Q84TI3,756.57524,527.8538112,793.4149877,761.1541078,792.7388997,774.5485937
AT2G01420,A0A1P8AY30,1389.266815,1141.759337,1463.769692,1166.9535,1206.413461,1131.325562
AT2G01530,Q9ZVF2,154.8545813,221.4257538,180.272521,175.9958688,162.3384233,123.6604012
AT2G02390,Q9ZVQ3,564.1131176,606.5596479,566.7249912,723.0403527,749.0640954,695.1719849
AT2G03760,P52839,962.3106123,862.6159699,883.0115102,789.1789276,862.783397,906.5644274
AT2G04160,Q9ZSP5,1268.701462,962.3100296,1256.510266,1147.896622,1184.164032,1234.932925
AT2G05380,A0A1P8B1B5,29360.42861,47175.22909,37734.16913,37187.81498,33179.66638,35645.11063
AT2G10940,Q9SKI0,43143.59245,43150.7373,43605.44004,42954.20192,45104.53604,40249.78949
AT2G12400,Q8H0U2,485.5797228,299.0821793,368.1013753,382.2585431,327.1490054,343.4082762
AT2G13600,Q9SIT7,212.3719972,115.4352271,164.0803784,206.2626743,197.7726985,239.800913
AT2G15490,Q7Y232,134.9447066,135.3740391,138.1729502,252.2233789,199.4208043,227.2677643
AT2G17120,O23006,408.1524321,495.3220654,371.3398038,493.2368298,343.6300636,375.1589197
AT2G17560,Q42344,1811.798601,2041.104698,1885.844876,2349.600898,2292.515196,2304.428286
AT2G17760,Q8VYV9,472.3064729,377.788016,530.0228013,554.8914335,465.5898943,529.7344211
AT2G17800,Q38902,658.1319705,823.7877571,697.3416083,772.3640357,742.4716721,722.7449121
AT2G20000,Q8LGU6,435.8050359,329.5151028,437.1878504,384.5005287,393.0732382,407.7451065
AT2G20230,Q93XY5,2197.82895,2594.144376,2121.170681,1960.616398,1877.19253,1877.465685
AT2G20330,Q9SK69,861.6551345,773.4160216,783.6997022,879.979344,953.4292172,846.4053133
AT2G20960,Q9SKR5,822.9414892,770.2677882,779.3817975,765.6380789,922.1152066,748.6467529
AT2G23170,O22190,838.4269473,812.2442344,803.1302733,950.6018901,894.9214605,853.0896593
AT2G23540,O80470,369.4387868,334.7621586,320.6044236,306.031033,266.16909,244.8141726
AT2G23940,O82222,494.428556,706.2537077,522.4664681,591.8841957,581.7813546,690.1587253
AT2G24090,Q8VZ55,18312.66034,20547.47043,17815.67477,19494.0647,19451.76895,19454.78906
AT2G24500,Q9ZQ18,1641.458562,1838.568345,1882.606447,2030.117952,2095.566551,2170.741366
AT2G24940,Q9SK39,3406.800788,5409.714507,3797.597179,4399.89672,4115.320234,4133.432463
AT2G25140,Q8VYJ7,276.526038,299.0821793,316.2865189,298.1840834,278.5298837,280.7425323
AT2G25270,Q1PF01,411.4707446,370.4421379,462.0158024,440.5501684,421.9150901,428.6336878
AT2G26100,Q66GS2,351.7411204,336.8609809,371.3398038,408.0413774,383.1846033,444.5090095
AT2G26640,O48780,1294.141858,1153.30286,1216.569648,1305.956606,1487.415503,1269.190198
AT2G26740,Q42566,1696.763769,1569.919089,1591.14788,1787.983508,1700.845207,1635.158142
AT2G26910,O81016,1799.631455,1428.248583,1954.931351,1483.073468,1325.901133,1402.041575
AT2G27660,Q9ZUW8,68.57845743,53.51996893,89.59652242,75.10651726,62.62802118,72.69226284
AT2G28900,Q9ZV24,10339.86161,13791.36141,11188.77054,10463.34675,10238.85741,10966.50517
AT2G29340,F4IKM1,2172.388555,2129.255235,2369.450201,2295.793244,2126.880561,2519.162902
AT2G29490,Q9ZW30,408.1524321,407.1715284,327.0812807,338.5398241,366.7035451,346.7504492
AT2G29550,P29515,3983.081052,3532.31795,3659.424229,4140.947384,4088.126488,4034.002816
AT2G29750,O82381,126.0958733,128.028161,158.6829975,142.366085,158.2181588,146.2200689
AT2G30010,A0A1P8AZP4,898.1565715,964.4088519,936.9853188,869.8904089,890.801196,909.0710571
AT2G30140,O64733,808.5621352,627.547871,613.1424667,883.3423224,747.4159896,747.8112097
AT2G30620,P26569,5901.065651,6372.024536,5722.303197,5497.348666,5483.248065,5654.12118
AT2G30740,O49339,763.2118649,812.2442344,769.6665119,714.0724104,806.7477991,667.5990576
AT2G30930,O80858,995.4937369,1386.272136,1004.992318,941.6339477,856.1909738,860.6095486
AT2G31880,Q9SKB2,379.3937242,275.9951339,351.9092327,348.6287592,250.5120847,371.8167467
AT2G32520,A0A1P8AZP9,2158.009201,2771.494862,2168.667633,2331.665013,2422.715556,2446.470639
AT2G32580,F4ITS6,639.3281999,887.8018376,691.9442274,615.4250444,587.549725,659.2436251
AT2G35190,Q944A9,581.810784,540.4467451,656.3215137,661.385749,632.8726351,630.8351545
AT2G35820,A0A1P8B223,368.3326826,481.6797204,399.4061843,367.6856367,407.9061906,420.2782553
AT2G36290,Q9SJM9,931.3396961,1026.32411,1015.78708,1205.067255,1122.360064,1143.858711
AT2G36410,Q3EBM1,1195.698588,1114.474647,1137.767887,1153.501586,1175.09945,1194.826849
AT2G36800,Q9ZQ94,1070.708819,926.6300503,957.4953662,814.9617619,808.395905,878.9915001
AT2G37170,A0A1P8AYA1,3113.683188,3457.809758,3339.899282,3814.738481,3447.013324,3609.546844
AT2G37180,P30302,415.8951612,457.5432638,459.85685,541.4395199,616.3915769,632.506241
AT2G37760,O80944,846.1696764,971.75473,795.5739401,712.9514176,815.8123812,782.9040262
AT2G37970,F4IRX7,222.3269346,274.9457228,213.7362824,284.7321699,227.4386032,249.8274321
AT2G38390,O80912,460.1393273,495.3220654,469.5721356,153.5760129,220.8461799,169.61528
AT2G38860,Q9ZV19,571.8558466,732.4889866,630.4140855,710.709432,729.2868256,782.068483
AT2G38870,Q9ZV18,568.5375342,1144.907571,819.3224159,1020.103443,950.9570584,933.3018114
AT2G39390,O80626,7384.351319,10489.91391,7609.227549,9938.72212,9258.234447,9860.245905
AT2G39840,P48484,551.9459719,577.1761355,525.7048966,659.1437634,631.2245293,606.6044002
AT2G40110,Q8LE51,179.1888726,242.4139769,282.8227575,172.6328904,145.8573651,166.273107
AT2G40140,Q9XEE6,1637.034145,1475.472085,1734.718211,1344.070361,1417.371006,1338.540288
AT2G40590,P49206,4502.950003,5720.340209,4982.862018,5627.383831,5722.223409,5921.49502
AT2G41090,P30187,2385.866656,2947.795936,2366.211773,2424.707415,2422.715556,2587.677448
AT2G41100,F4IJ44,2497.583175,2808.224252,2614.491293,3332.711579,3219.57472,2990.409295
AT2G41380,Q9ZVC3,362.8021619,473.2844311,301.1738525,338.5398241,309.8438943,340.0661032
AT2G41410,P30188,3487.546392,3778.929571,3356.091424,4907.706456,4650.954626,4246.230802
AT2G41730,O22947,224.5391429,342.1080367,242.8821391,300.426069,248.8639789,244.8141726
AT2G43150,Q9ZW80,2068.414764,3809.362495,2773.17429,3544.579218,3287.971112,2967.849628
AT2G43510,Q42328,280.9504546,455.4444415,337.8760424,294.8211051,270.2893546,350.0926222
AT2G43610,O22842,118.3531443,128.028161,128.4576647,385.6215215,334.5654816,372.65229
AT2G43620,O22841,1100.573631,1265.589854,1141.006316,1290.262707,1252.560424,1257.492593
AT2G43760,O22827,911.4298213,981.1994304,784.7791783,1012.256494,1012.761027,1077.850794
AT2G43910,Q0WP12,5022.818955,6318.504568,5493.454248,5680.070492,5549.996351,5620.69945
AT2G43940,Q6AWU6,269.8894131,340.0092144,241.8026629,286.9741555,234.8550794,281.5780756
AT2G44210,O64856,1604.957125,1518.497942,1539.333024,1433.749785,1463.517969,1444.654281
AT2G44290,O64864,297.5420169,274.9457228,311.9686142,650.1758211,626.2802118,600.7555975
AT2G44490,O64883,2899.098983,3001.315905,3049.520191,2821.538865,3037.459027,3116.576326
AT2G47380,O22912,1679.066103,3186.012268,2174.065014,2321.576078,2390.577493,2361.245227
AT2G47730,Q96266,7394.306257,7597.736766,6578.327803,8117.108828,7740.328986,7600.936955
AT4G00360,O23066,846.1696764,706.2537077,811.7660827,579.553275,585.9016192,577.3603865
AT4G00400,Q5XF03,816.3048642,1009.533532,888.408891,790.2999204,825.7010161,858.1029188
AT4G00710,Q8W4L3,2056.247619,1753.566041,2056.402111,1672.52125,1734.631376,1747.956481
